i,j,fill
3364,1,1
3365,1,1
3366,1,1
3367,1,1
3368,1,1
3369,1,1
3370,1,1
3373,1,1
3387,1,1
3405,1,1
3406,1,1
3407,1,1
3408,1,1
3409,1,1
3420,1,1
3421,1,1
3422,1,1
3423,1,1
3424,1,1
3425,1,1
3426,1,1
3427,1,1
3428,1,1
3429,1,1
3430,1,1
3431,1,1
3432,1,1
3433,1,1
3434,1,1
3435,1,1
3436,1,1
3437,1,1
3438,1,1
3439,1,1
3440,1,1
3441,1,1
3442,1,1
3443,1,1
3444,1,1
3445,1,1
3446,1,1
3447,1,1
3448,1,1
3449,1,1
3450,1,1
3451,1,1
3452,1,1
3453,1,1
3454,1,1
3455,1,1
3456,1,1
3457,1,1
3458,1,1
3459,1,1
3460,1,1
3461,1,1
3462,1,1
3463,1,1
3464,1,1
3465,1,1
3466,1,1
3467,1,1
3468,1,1
3469,1,1
3470,1,1
3471,1,1
3472,1,1
3473,1,1
3474,1,1
3475,1,1
3476,1,1
3477,1,1
3478,1,1
3479,1,1
3480,1,1
3481,1,1
3482,1,1
3483,1,1
3484,1,1
3485,1,1
3486,1,1
3487,1,1
3488,1,1
3489,1,1
3490,1,1
3491,1,1
3492,1,1
3493,1,1
3494,1,1
3495,1,1
3507,1,1
3516,1,1
3517,1,1
3518,1,1
3519,1,1
3520,1,1
3521,1,1
3522,1,1
3523,1,1
3524,1,1
3525,1,1
3526,1,1
3527,1,1
3528,1,1
3529,1,1
3530,1,1
3531,1,1
3532,1,1
3533,1,1
3534,1,1
3535,1,1
3536,1,1
3549,1,1
3550,1,1
3566,1,1
3567,1,1
3570,1,1
3571,1,1
3576,1,1
3577,1,1
3587,1,1
3594,1,1
3596,1,1
3610,1,1
3611,1,1
3612,1,1
3614,1,1
3615,1,1
3616,1,1
3617,1,1
3618,1,1
3619,1,1
3620,1,1
3621,1,1
3622,1,1
3635,1,1
3636,1,1
3637,1,1
3638,1,1
3640,1,1
3641,1,1
3642,1,1
3643,1,1
3644,1,1
3645,1,1
3646,1,1
3647,1,1
3648,1,1
3649,1,1
3657,1,1
3658,1,1
3659,1,1
3660,1,1
3662,1,1
3664,1,1
3666,1,1
3669,1,1
3670,1,1
3672,1,1
3673,1,1
3679,1,1
3680,1,1
3682,1,1
3683,1,1
3685,1,1
3686,1,1
3688,1,1
3689,1,1
3690,1,1
3691,1,1
3696,1,1
3704,1,1
3705,1,1
3706,1,1
3711,1,1
3714,1,1
3716,1,1
3719,1,1
3720,1,1
3723,1,1
3724,1,1
3729,1,1
3731,1,1
3739,1,1
3744,1,1
3775,1,1
3776,1,1
3777,1,1
3781,1,1
3782,1,1
3812,1,1
3813,1,1
3815,1,1
3833,1,1
3834,1,1
3843,1,1
3849,1,1
3868,1,1
3869,1,1
3871,1,1
3875,1,1
3876,1,1
3878,1,1
3881,1,1
3882,1,1
3883,1,1
3884,1,1
3886,1,1
3887,1,1
3888,1,1
3889,1,1
3890,1,1
3891,1,1
3892,1,1
3893,1,1
3895,1,1
3896,1,1
3897,1,1
3898,1,1
3899,1,1
3900,1,1
3901,1,1
3902,1,1
3908,1,1
3909,1,1
3924,1,1
3925,1,1
3927,1,1
3928,1,1
3929,1,1
3930,1,1
3946,1,1
3947,1,1
3948,1,1
3949,1,1
3950,1,1
3951,1,1
3952,1,1
3953,1,1
3954,1,1
3955,1,1
3956,1,1
3957,1,1
3958,1,1
3959,1,1
3960,1,1
3961,1,1
4001,1,1
4009,1,1
4015,1,1
4016,1,1
4179,1,1
4236,1,1
4237,1,1
4238,1,1
4239,1,1
4240,1,1
4241,1,1
4242,1,1
4243,1,1
4244,1,1
4245,1,1
4246,1,1
4247,1,1
4248,1,1
4249,1,1
4250,1,1
4251,1,1
4252,1,1
4253,1,1
4254,1,1
4255,1,1
4256,1,1
4257,1,1
4258,1,1
4259,1,1
4260,1,1
4261,1,1
4262,1,1
4263,1,1
4264,1,1
4265,1,1
4266,1,1
4267,1,1
4268,1,1
4269,1,1
4270,1,1
4271,1,1
4272,1,1
4273,1,1
4274,1,1
4275,1,1
4276,1,1
4277,1,1
4278,1,1
4279,1,1
4280,1,1
4281,1,1
4282,1,1
4283,1,1
4284,1,1
4285,1,1
4286,1,1
4287,1,1
4289,1,1
4290,1,1
4291,1,1
4292,1,1
4293,1,1
4294,1,1
4298,1,1
4299,1,1
4300,1,1
4301,1,1
4302,1,1
4303,1,1
4305,1,1
4309,1,1
4310,1,1
4315,1,1
4360,1,1
4364,1,1
4365,1,1
4366,1,1
4367,1,1
4368,1,1
4380,1,1
4381,1,1
4387,1,1
4388,1,1
4394,1,1
4395,1,1
4396,1,1
4397,1,1
4398,1,1
4399,1,1
4400,1,1
4401,1,1
4402,1,1
4403,1,1
4404,1,1
4405,1,1
4406,1,1
4407,1,1
4408,1,1
4409,1,1
4410,1,1
4411,1,1
4412,1,1
4413,1,1
4414,1,1
4415,1,1
4416,1,1
4417,1,1
4418,1,1
4419,1,1
4420,1,1
4421,1,1
4422,1,1
4423,1,1
4424,1,1
4425,1,1
4426,1,1
4427,1,1
4428,1,1
4429,1,1
4430,1,1
4431,1,1
4434,1,1
4449,1,1
4458,1,1
4459,1,1
4460,1,1
4464,1,1
4465,1,1
4466,1,1
4472,1,1
4473,1,1
4474,1,1
4475,1,1
4478,1,1
4480,1,1
4481,1,1
4482,1,1
4483,1,1
4485,1,1
4489,1,1
4490,1,1
4491,1,1
4496,1,1
4499,1,1
4500,1,1
4528,1,1
4534,1,1
4546,1,1
4551,1,1
4552,1,1
4553,1,1
4554,1,1
4555,1,1
4557,1,1
4559,1,1
4560,1,1
4561,1,1
4562,1,1
4563,1,1
4564,1,1
4565,1,1
4566,1,1
4567,1,1
4570,1,1
4571,1,1
4574,1,1
4575,1,1
4576,1,1
4577,1,1
4579,1,1
4580,1,1
4581,1,1
4585,1,1
4586,1,1
4587,1,1
4593,1,1
4608,1,1
4611,1,1
4612,1,1
4613,1,1
4614,1,1
4615,1,1
4618,1,1
4619,1,1
4620,1,1
4621,1,1
4624,1,1
4625,1,1
4626,1,1
4627,1,1
4628,1,1
4629,1,1
4630,1,1
4631,1,1
4632,1,1
4633,1,1
4634,1,1
4635,1,1
4636,1,1
4638,1,1
4640,1,1
4641,1,1
4642,1,1
4645,1,1
4646,1,1
4647,1,1
4648,1,1
4649,1,1
4650,1,1
4651,1,1
4652,1,1
4653,1,1
4657,1,1
4658,1,1
4660,1,1
4661,1,1
4662,1,1
4664,1,1
4665,1,1
4666,1,1
4667,1,1
4668,1,1
4670,1,1
4671,1,1
4672,1,1
4673,1,1
4674,1,1
4678,1,1
4679,1,1
4681,1,1
4682,1,1
4683,1,1
4684,1,1
4685,1,1
4686,1,1
4687,1,1
4688,1,1
4691,1,1
4692,1,1
4693,1,1
4695,1,1
4696,1,1
4698,1,1
4699,1,1
4700,1,1
4701,1,1
4702,1,1
4703,1,1
4704,1,1
4707,1,1
4708,1,1
4709,1,1
4710,1,1
4711,1,1
4713,1,1
4715,1,1
4735,1,1
4771,1,1
4772,1,1
4773,1,1
4811,1,1
4839,1,1
4845,1,1
4999,1,1
5023,1,1
5057,1,1
5061,1,1
5062,1,1
5063,1,1
5064,1,1
5065,1,1
5066,1,1
5067,1,1
5068,1,1
5069,1,1
5081,1,1
5083,1,1
5096,1,1
5101,1,1
5109,1,1
5110,1,1
5215,1,1
5216,1,1
5217,1,1
5227,1,1
5243,1,1
5256,1,1
5258,1,1
5271,1,1
5274,1,1
5275,1,1
5290,1,1
5291,1,1
5292,1,1
5293,1,1
5294,1,1
5295,1,1
5296,1,1
5297,1,1
5298,1,1
5299,1,1
5300,1,1
5301,1,1
5302,1,1
5303,1,1
5304,1,1
5305,1,1
5306,1,1
5307,1,1
5308,1,1
5309,1,1
5310,1,1
5311,1,1
5312,1,1
5336,1,1
5344,1,1
5345,1,1
5346,1,1
5347,1,1
5348,1,1
5349,1,1
5351,1,1
5375,1,1
5376,1,1
5407,1,1
5435,1,1
5439,1,1
5442,1,1
5444,1,1
5445,1,1
5449,1,1
5455,1,1
5457,1,1
5471,1,1
5562,1,1
5672,1,1
5681,1,1
5693,1,1
5696,1,1
5697,1,1
5714,1,1
5715,1,1
5716,1,1
5717,1,1
5718,1,1
5719,1,1
5778,1,1
5779,1,1
5799,1,1
5800,1,1
5805,1,1
5813,1,1
5822,1,1
5825,1,1
5827,1,1
5834,1,1
5837,1,1
5845,1,1
5846,1,1
5847,1,1
5848,1,1
5849,1,1
5850,1,1
5860,1,1
5877,1,1
5878,1,1
5879,1,1
5880,1,1
5881,1,1
5883,1,1
5891,1,1
5893,1,1
5901,1,1
5902,1,1
5903,1,1
5905,1,1
5906,1,1
5907,1,1
5908,1,1
5909,1,1
5910,1,1
5912,1,1
5913,1,1
5914,1,1
5915,1,1
5917,1,1
5918,1,1
5919,1,1
5920,1,1
5921,1,1
5922,1,1
5923,1,1
5924,1,1
5925,1,1
5926,1,1
5927,1,1
5928,1,1
5929,1,1
5931,1,1
5973,1,1
5974,1,1
5975,1,1
5976,1,1
5977,1,1
5978,1,1
5979,1,1
5980,1,1
5981,1,1
5982,1,1
5983,1,1
5984,1,1
5985,1,1
5986,1,1
5987,1,1
5988,1,1
5989,1,1
5990,1,1
5991,1,1
5992,1,1
5993,1,1
6035,1,1
6070,1,1
6081,1,1
6082,1,1
6083,1,1
6084,1,1
6085,1,1
6088,1,1
6092,1,1
6095,1,1
6110,1,1
6111,1,1
6112,1,1
6113,1,1
6128,1,1
6129,1,1
6130,1,1
6131,1,1
6132,1,1
6133,1,1
6134,1,1
6135,1,1
6136,1,1
6137,1,1
6138,1,1
6139,1,1
6140,1,1
6141,1,1
6142,1,1
6143,1,1
6144,1,1
6145,1,1
6146,1,1
6147,1,1
6148,1,1
6149,1,1
6150,1,1
6151,1,1
6152,1,1
6153,1,1
6154,1,1
6155,1,1
6156,1,1
6157,1,1
6158,1,1
6159,1,1
6160,1,1
6161,1,1
6162,1,1
6163,1,1
6164,1,1
6165,1,1
6166,1,1
6167,1,1
6168,1,1
6169,1,1
6170,1,1
6171,1,1
6172,1,1
6173,1,1
6174,1,1
6175,1,1
6176,1,1
6177,1,1
6178,1,1
6179,1,1
6180,1,1
6181,1,1
6182,1,1
6183,1,1
6184,1,1
6185,1,1
6187,1,1
6188,1,1
6194,1,1
6200,1,1
6206,1,1
6207,1,1
6208,1,1
6209,1,1
6210,1,1
6211,1,1
6212,1,1
6213,1,1
6214,1,1
6215,1,1
6216,1,1
6217,1,1
6218,1,1
6219,1,1
6220,1,1
6221,1,1
6222,1,1
6223,1,1
6224,1,1
6225,1,1
6226,1,1
6227,1,1
6228,1,1
6229,1,1
6266,1,1
6267,1,1
6310,1,1
6339,1,1
6340,1,1
6350,1,1
6351,1,1
6352,1,1
6353,1,1
6354,1,1
6355,1,1
6356,1,1
6357,1,1
6360,1,1
6361,1,1
6362,1,1
6363,1,1
6364,1,1
6365,1,1
6366,1,1
6369,1,1
6372,1,1
6373,1,1
6374,1,1
6375,1,1
6376,1,1
6377,1,1
6378,1,1
6379,1,1
6380,1,1
6381,1,1
6382,1,1
6383,1,1
6384,1,1
6385,1,1
6386,1,1
6387,1,1
6388,1,1
6389,1,1
6390,1,1
6391,1,1
6392,1,1
6393,1,1
6394,1,1
6395,1,1
6396,1,1
6397,1,1
6398,1,1
6399,1,1
6400,1,1
6401,1,1
6402,1,1
6403,1,1
6404,1,1
6405,1,1
6406,1,1
6407,1,1
6408,1,1
6409,1,1
6410,1,1
6411,1,1
6412,1,1
6413,1,1
6414,1,1
6415,1,1
